Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,Vteam,Hteam
Tue Oct 17 2017,8:01 PM,Boston Celtics,99,Cleveland Cavaliers,102,Box Score,,20562,,,Boston Celtics,Cleveland Cavaliers
Tue Oct 17 2017,10:30 PM,Houston Rockets,122,Golden State Warriors,121,Box Score,,19596,,,Houston Rockets,Golden State Warriors
Wed Oct 18 2017,7:30 PM,Milwaukee Bucks,108,Boston Celtics,100,Box Score,,18624,,,Milwaukee Bucks,Boston Celtics
Wed Oct 18 2017,8:30 PM,Atlanta Hawks,117,Dallas Mavericks,111,Box Score,,19709,,,Atlanta Hawks,Dallas Mavericks
Wed Oct 18 2017,7:00 PM,Charlotte Hornets,90,Detroit Pistons,102,Box Score,,20491,,,Charlotte Hornets,Detroit Pistons
Wed Oct 18 2017,7:00 PM,Brooklyn Nets,131,Indiana Pacers,140,Box Score,,15008,,,Brooklyn Nets,Indiana Pacers
Wed Oct 18 2017,8:00 PM,New Orleans Pelicans,91,Memphis Grizzlies,103,Box Score,,17794,,,New Orleans Pelicans,Memphis Grizzlies
Wed Oct 18 2017,7:00 PM,Miami Heat,109,Orlando Magic,116,Box Score,,18846,,,Miami Heat,Orlando Magic
Wed Oct 18 2017,10:00 PM,Portland Trail Blazers,124,Phoenix Suns,76,Box Score,,18055,,,Portland Trail Blazers,Phoenix Suns
Wed Oct 18 2017,10:00 PM,Houston Rockets,105,Sacramento Kings,100,Box Score,,17583,,,Houston Rockets,Sacramento Kings
Wed Oct 18 2017,9:30 PM,Minnesota Timberwolves,99,San Antonio Spurs,107,Box Score,,18418,,,Minnesota Timberwolves,San Antonio Spurs
Wed Oct 18 2017,9:00 PM,Denver Nuggets,96,Utah Jazz,106,Box Score,,17588,,,Denver Nuggets,Utah Jazz
Wed Oct 18 2017,7:00 PM,Philadelphia 76ers,115,Washington Wizards,120,Box Score,,20356,,,Philadelphia 76ers,Washington Wizards
Thu Oct 19 2017,10:30 PM,Los Angeles Clippers,108,Los Angeles Lakers,92,Box Score,,18997,,,Los Angeles Clippers,Los Angeles Lakers
Thu Oct 19 2017,8:00 PM,New York Knicks,84,Oklahoma City Thunder,105,Box Score,,18203,,,New York Knicks,Oklahoma City Thunder
Thu Oct 19 2017,7:30 PM,Chicago Bulls,100,Toronto Raptors,117,Box Score,,19800,,,Chicago Bulls,Toronto Raptors
