Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,,,,win team,lose team,Wloc
Tue Oct 25 2016,7:30 PM,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,20562,,,-29,,Cleveland Cavaliers,New York Knicks,H
Tue Oct 25 2016,10:30 PM,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,19596,,,29,,San Antonio Spurs,Golden State Warriors,V
Tue Oct 25 2016,10:00 PM,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,19446,,,-9,,Portland Trail Blazers,Utah Jazz,H
Wed Oct 26 2016,7:30 PM,Brooklyn Nets,117,Boston Celtics,122,Box Score,,18624,,,-5,,Boston Celtics,Brooklyn Nets,H
Wed Oct 26 2016,7:00 PM,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,17923,,,-9,,Indiana Pacers,Dallas Mavericks,H
Wed Oct 26 2016,10:30 PM,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,18997,,,-6,,Los Angeles Lakers,Houston Rockets,H
Wed Oct 26 2016,8:00 PM,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,18119,,,-4,,Memphis Grizzlies,Minnesota Timberwolves,H
Wed Oct 26 2016,8:00 PM,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,18717,,,11,,Charlotte Hornets,Milwaukee Bucks,V
Wed Oct 26 2016,8:00 PM,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,15869,,,5,,Denver Nuggets,New Orleans Pelicans,V
Wed Oct 26 2016,7:00 PM,Miami Heat,108,Orlando Magic,96,Box Score,,19298,,,12,,Miami Heat,Orlando Magic,V
Wed Oct 26 2016,8:00 PM,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,20487,,,6,,Oklahoma City Thunder,Philadelphia 76ers,V
Wed Oct 26 2016,10:00 PM,Sacramento Kings,113,Phoenix Suns,94,Box Score,,18055,,,19,,Sacramento Kings,Phoenix Suns,V
Wed Oct 26 2016,7:30 PM,Detroit Pistons,91,Toronto Raptors,109,Box Score,,19800,,,-18,,Toronto Raptors,Detroit Pistons,H
Thu Oct 27 2016,7:30 PM,Washington Wizards,99,Atlanta Hawks,114,Box Score,,19049,,,-15,,Atlanta Hawks,Washington Wizards,H
Thu Oct 27 2016,8:00 PM,Boston Celtics,99,Chicago Bulls,105,Box Score,,21501,,,-6,,Chicago Bulls,Boston Celtics,H
Thu Oct 27 2016,10:30 PM,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,19500,,,8,,Los Angeles Clippers,Portland Trail Blazers,V
Thu Oct 27 2016,10:30 PM,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,17608,,,8,,San Antonio Spurs,Sacramento Kings,V
Fri Oct 28 2016,7:30 PM,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,17732,,,-9,,Brooklyn Nets,Indiana Pacers,H
Fri Oct 28 2016,8:30 PM,Houston Rockets,106,Dallas Mavericks,98,Box Score,,20163,,,8,,Houston Rockets,Dallas Mavericks,V
Fri Oct 28 2016,7:30 PM,Orlando Magic,82,Detroit Pistons,108,Box Score,,19122,,,-26,,Detroit Pistons,Orlando Magic,H
Fri Oct 28 2016,8:00 PM,Charlotte Hornets,97,Miami Heat,91,Box Score,,19600,,,6,,Charlotte Hornets,Miami Heat,V
Fri Oct 28 2016,9:30 PM,Golden State Warriors,122,New Orleans Pelicans,114,Box Score,,18217,,,8,,Golden State Warriors,New Orleans Pelicans,V
Fri Oct 28 2016,8:00 PM,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,18203,,,-3,,Oklahoma City Thunder,Phoenix Suns,H
Fri Oct 28 2016,7:00 PM,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,19800,,,3,,Cleveland Cavaliers,Toronto Raptors,V
Fri Oct 28 2016,9:00 PM,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,19911,,,-7,,Utah Jazz,Los Angeles Lakers,H
Sat Oct 29 2016,8:00 PM,Indiana Pacers,101,Chicago Bulls,118,Box Score,,21373,,,-17,,Chicago Bulls,Indiana Pacers,H
Sat Oct 29 2016,7:00 PM,Boston Celtics,104,Charlotte Hornets,98,Box Score,,18708,,,6,,Boston Celtics,Charlotte Hornets,V
Sat Oct 29 2016,7:30 PM,Orlando Magic,99,Cleveland Cavaliers,105,Box Score,,20562,,,-6,,Cleveland Cavaliers,Orlando Magic,H
Sat Oct 29 2016,9:00 PM,Portland Trail Blazers,115,Denver Nuggets,113,Box Score,OT,18055,,,2,,Portland Trail Blazers,Denver Nuggets,V
Sat Oct 29 2016,8:00 PM,Brooklyn Nets,108,Milwaukee Bucks,110,Box Score,,12570,,,-2,,Milwaukee Bucks,Brooklyn Nets,H
Sat Oct 29 2016,7:30 PM,Memphis Grizzlies,104,New York Knicks,111,Box Score,,19812,,,-7,,New York Knicks,Memphis Grizzlies,H
Sat Oct 29 2016,12:30 PM,Atlanta Hawks,104,Philadelphia 76ers,72,Box Score,,16312,,,32,,Atlanta Hawks,Philadelphia 76ers,V
Sat Oct 29 2016,10:30 PM,Minnesota Timberwolves,103,Sacramento Kings,106,Box Score,,17608,,,-3,,Sacramento Kings,Minnesota Timberwolves,H
Sat Oct 29 2016,8:00 PM,New Orleans Pelicans,79,San Antonio Spurs,98,Box Score,,18418,,,-19,,San Antonio Spurs,New Orleans Pelicans,H
Sun Oct 30 2016,6:00 PM,Milwaukee Bucks,83,Detroit Pistons,98,Box Score,,15161,,,-15,,Detroit Pistons,Milwaukee Bucks,H
Sun Oct 30 2016,8:00 PM,Dallas Mavericks,92,Houston Rockets,93,Box Score,,18055,,,-1,,Houston Rockets,Dallas Mavericks,H
Sun Oct 30 2016,4:30 PM,Utah Jazz,75,Los Angeles Clippers,88,Box Score,,19060,,,-13,,Los Angeles Clippers,Utah Jazz,H
Sun Oct 30 2016,8:00 PM,Washington Wizards,103,Memphis Grizzlies,112,Box Score,OT,15573,,,-9,,Memphis Grizzlies,Washington Wizards,H
Sun Oct 30 2016,6:00 PM,San Antonio Spurs,106,Miami Heat,99,Box Score,,19678,,,7,,San Antonio Spurs,Miami Heat,V
Sun Oct 30 2016,7:00 PM,Los Angeles Lakers,96,Oklahoma City Thunder,113,Box Score,,18203,,,-17,,Oklahoma City Thunder,Los Angeles Lakers,H
Sun Oct 30 2016,6:00 PM,Golden State Warriors,106,Phoenix Suns,100,Box Score,,17011,,,6,,Golden State Warriors,Phoenix Suns,V
Mon Oct 31 2016,7:30 PM,Sacramento Kings,95,Atlanta Hawks,106,Box Score,,12501,,,-11,,Atlanta Hawks,Sacramento Kings,H
Mon Oct 31 2016,7:30 PM,Chicago Bulls,118,Brooklyn Nets,88,Box Score,,15842,,,30,,Chicago Bulls,Brooklyn Nets,V
Mon Oct 31 2016,10:30 PM,Phoenix Suns,98,Los Angeles Clippers,116,Box Score,,19060,,,-18,,Los Angeles Clippers,Phoenix Suns,H
Mon Oct 31 2016,7:30 PM,Denver Nuggets,102,Toronto Raptors,105,Box Score,,19800,,,-3,,Toronto Raptors,Denver Nuggets,H
Tue Nov 1 2016,6:00 PM,Houston Rockets,120,Cleveland Cavaliers,128,Box Score,,20562,,,-8,,Cleveland Cavaliers,Houston Rockets,H
Tue Nov 1 2016,7:30 PM,New York Knicks,89,Detroit Pistons,102,Box Score,,13087,,,-13,,Detroit Pistons,New York Knicks,H
Tue Nov 1 2016,7:00 PM,Los Angeles Lakers,108,Indiana Pacers,115,Box Score,,15348,,,-7,,Indiana Pacers,Los Angeles Lakers,H
Tue Nov 1 2016,7:30 PM,Sacramento Kings,96,Miami Heat,108,Box Score,OT,19612,,,-12,,Miami Heat,Sacramento Kings,H
Tue Nov 1 2016,8:00 PM,Memphis Grizzlies,80,Minnesota Timberwolves,116,Box Score,,14774,,,-36,,Minnesota Timberwolves,Memphis Grizzlies,H
Tue Nov 1 2016,8:00 PM,Milwaukee Bucks,117,New Orleans Pelicans,113,Box Score,,15515,,,4,,Milwaukee Bucks,New Orleans Pelicans,V
Tue Nov 1 2016,7:00 PM,Orlando Magic,103,Philadelphia 76ers,101,Box Score,,12529,,,2,,Orlando Magic,Philadelphia 76ers,V
Tue Nov 1 2016,10:00 PM,Golden State Warriors,127,Portland Trail Blazers,104,Box Score,,19393,,,23,,Golden State Warriors,Portland Trail Blazers,V
Tue Nov 1 2016,8:30 PM,Utah Jazz,106,San Antonio Spurs,91,Box Score,,18418,,,15,,Utah Jazz,San Antonio Spurs,V
Wed Nov 2 2016,7:30 PM,Los Angeles Lakers,123,Atlanta Hawks,116,Box Score,,13800,,,7,,Los Angeles Lakers,Atlanta Hawks,V
Wed Nov 2 2016,8:00 PM,Chicago Bulls,100,Boston Celtics,107,Box Score,,18624,,,-7,,Boston Celtics,Chicago Bulls,H
Wed Nov 2 2016,7:30 PM,Detroit Pistons,101,Brooklyn Nets,109,Box Score,,13650,,,-8,,Brooklyn Nets,Detroit Pistons,H
Wed Nov 2 2016,7:00 PM,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,,15275,,,-16,,Charlotte Hornets,Philadelphia 76ers,H
Wed Nov 2 2016,10:30 PM,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,,19060,,,2,,Oklahoma City Thunder,Los Angeles Clippers,V
Wed Nov 2 2016,8:00 PM,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,OT,15881,,,-6,,Memphis Grizzlies,New Orleans Pelicans,H
Wed Nov 2 2016,7:30 PM,Houston Rockets,118,New York Knicks,99,Box Score,,19812,,,19,,Houston Rockets,New York Knicks,V
Wed Nov 2 2016,10:00 PM,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,OT,17284,,,-3,,Phoenix Suns,Portland Trail Blazers,H
Wed Nov 2 2016,9:00 PM,Dallas Mavericks,81,Utah Jazz,97,Box Score,,19318,,,-16,,Utah Jazz,Dallas Mavericks,H
Wed Nov 2 2016,7:00 PM,Toronto Raptors,113,Washington Wizards,103,Box Score,,19581,,,10,,Toronto Raptors,Washington Wizards,V
Thu Nov 3 2016,8:00 PM,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,,20562,,,-6,,Cleveland Cavaliers,Boston Celtics,H
Thu Nov 3 2016,10:30 PM,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,,19596,,,-26,,Golden State Warriors,Oklahoma City Thunder,H
Thu Nov 3 2016,8:00 PM,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,,11374,,,-18,,Milwaukee Bucks,Indiana Pacers,H
Thu Nov 3 2016,8:00 PM,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,,11219,,,3,,Denver Nuggets,Minnesota Timberwolves,V
Thu Nov 3 2016,7:00 PM,Sacramento Kings,94,Orlando Magic,102,Box Score,,17026,,,-8,,Orlando Magic,Sacramento Kings,H
